code,date,ret,label,er10_t4,volshrink,pillar_pct,pillar_body_atr,pillar_vr20,pillar_volmult,breakout,clean_max_body,clean_max_vr,test_vol_ratio,hold_depth,t_close_vs_pillar,pb20_t,roc60_t,roc120_t,bias120_t,atrp30_t,er20_t,win
sz.002153,2022-12-02,-0.06208718626155895,stop,0.3649025069637881,0.5541046147317741,10.0,1.5256410256410275,1.3176053543321768,1.9613318055861562,-0.1015015015015015,1.7310924369747887,3.493484795108585,0.687951781882918,0.9117647058823541,-0.02205882352941105,0.5517641228553317,0.10184501845018445,-0.012566137566137447,0.07742082917383332,0.058160303639205144,0.011494252873563121,False
sz.002156,2021-01-08,0.031257909269465214,tp,0.008077544426494611,0.8173057267250287,6.3311,1.6355555555555545,1.6740919771167713,1.9089373842322477,-0.11344262295081975,1.1913357400722022,1.526374300459575,0.6926643830103169,0.930917200483351,-0.06908279951664899,0.7965692709679355,0.08257794243320049,-0.05800183238049128,0.06296770180710001,0.04488582590513921,0.04184890742976461,True
sz.002156,2024-07-12,-0.0483870967741934,stop,0.3842204326610162,0.6566434571642238,9.191,1.767490229624781,1.4424263810914022,1.9689602054153361,-0.08764036185596913,0.856183927349274,1.3916923652801778,0.5933887352946821,1.0786516853932588,0.33146067415730357,0.6515249799752213,0.14186948486347162,0.13357503339957244,0.06356947721830918,0.0427978661860241,0.01692535775911816,False
sz.002157,2019-10-24,0.021676300578034772,tp,0.1867007672634271,0.9875783899132285,9.9933,1.2246108228317296,1.796464190082227,1.7627472741005474,-0.24126838235294124,2.31588785046729,1.282942605354145,0.7395154426868316,1.2033898305084716,0.5847457627118611,0.8371411867193045,-0.13480885311871227,-0.2378710568275566,-0.05603980522782927,0.04808139534883719,0.06172839506172852,True
sz.002157,2020-02-13,0.10496850944716583,tp,0.27567567567567614,1.0067052102209475,6.4234,1.4685314685314679,1.3941204420357098,1.523932813476539,-0.16970387243735763,1.964912280701756,1.5651017848990834,0.6141930827531253,0.7083333333333337,-0.23333333333333303,0.4553563226762346,-0.0914866581956797,-0.21038100496962997,-0.11101440716161819,0.050349650349650325,0.23284313725490197,True
sz.002157,2020-07-31,0.09231651376146786,tp,0.35412026726057977,0.8099957090720403,8.9576,1.4523195876288661,1.7599972543785491,2.0041181232597185,-0.013282732447817747,1.3125000000000009,2.0805049076746194,0.6653657785871991,1.2857142857142851,0.4782608695652179,0.9925577322225585,0.17420732635348002,0.5941225291553869,0.22192829930776267,0.04384175552464841,0.22373696872493973,True
sz.002157,2022-01-07,0.052527254707631345,tp,0.3870967741935492,0.9744092407853451,5.7971,2.0944881889763827,3.1170660200091898,3.1116325706649794,-0.09074733096085408,1.6872964169381108,2.16854995605757,0.6075588260412648,0.9649122807017521,-0.035087719298247964,0.8910802050211706,0.05699481865284972,-0.0769230769230771,0.045983985506627134,0.025849673202614352,0.14801444043321307,True
sz.002158,2021-11-04,0.06928181108508982,tp,0.06250000000000035,0.8684098774647703,5.9122,1.4693274205469338,1.9385881050817757,2.3515772893771207,-0.11000709723207935,1.1358024691358044,1.4598244313429145,0.6784158777989838,0.7394366197183087,0.41549295774647904,0.9784753923161303,0.03549818475191624,0.1009652309155975,0.043619196458890286,0.04190364887676925,0.23781094527363175,True
sz.002159,2020-11-06,0.03336045565500407,tp,0.0270270270270273,0.8263966577554976,5.1064,1.2028169014084509,1.9609040835974847,2.233964459403238,-0.1482758620689656,1.1400651465798075,1.750158468971362,0.48708977291080535,0.8688524590163935,-0.016393442622948503,0.8880909618617737,-0.011217948717948678,0.17411988582302573,0.05483609009702115,0.0370340356564019,0.10675381263616619,True
sz.002159,2022-11-04,0.06389117889530091,tp,0.2555555555555543,0.9456507459592387,5.6312,1.259796806966617,1.8472288645365165,1.8362475239188982,-0.13851851851851849,1.1292817679558018,1.3372631459826554,0.7778117135313363,1.4032258064516112,1.161290322580645,1.0856532527164997,0.14140480591497218,0.41628440366972486,0.11178628496837942,0.0492037786774629,0.2995594713656385,True
sz.002164,2023-09-01,-0.03321678321678313,stop,0.3707865168539317,0.9521508449346195,6.4815,1.852140077821014,2.0274049843595434,2.103708271256385,-0.1867043847241867,1.57219251336899,1.6020828905395488,0.4990518351870865,0.7352941176470591,-0.05882352941176348,0.6541489501267007,0.05719557195571956,-0.10188087774294663,-0.028731248410882163,0.026643397324025563,0.06896551724137871,False
sz.002166,2021-12-29,0.036294691224268684,tp,0.1529411764705876,0.776815138182873,5.5305,2.4499999999999957,3.0677211039173296,3.9653477041480465,0.0053763440860212786,1.2331606217616609,1.7197451458561126,0.5033723517207053,0.7857142857142894,-0.21428571428571067,0.7881441485755697,0.08716136631330973,0.2273936170212767,0.1037809180236384,0.02874684001444568,0.05990783410138293,True
sz.002170,2022-08-18,-0.03188405797101452,stop,0.0,0.7632499291061424,6.1033,1.3668639053254426,2.0035322105894693,2.660411287541186,-0.04908835904628328,1.2108108108108133,2.2928926764465363,0.659123216222342,1.3030303030303032,0.3333333333333323,0.9234321820359161,0.22142764989252361,0.05520890243008569,0.1485611667955995,0.03584905660377358,0.16738197424892678,False
sz.002171,2020-07-02,0.07612179487179495,tp,0.2347826086956522,0.8869510403145328,5.8087,1.8095238095238102,1.5313466365044346,1.931509574212012,0.01641137855579866,1.245207445487589,2.410370385321941,0.6104223098664388,0.8245614035087718,0.07017543859649056,0.9865266645030135,0.25347966258241583,0.28418676007857724,0.1613853936754135,0.038442458756245336,0.1840000000000003,True
sz.002173,2020-02-24,0.07166666666666666,tp,0.20930232558139483,0.5506725385977269,10.0719,1.7086614173228305,2.3425089601476605,2.3419504036275987,-0.04362430167597786,1.8516129032258077,3.1090549876848876,0.6319161542910399,0.7419354838709697,0.04838709677419568,0.9073876594720353,0.1285886995872616,-0.022129028179558752,0.039244995494723295,0.04504065040650409,0.14832535885167483,True
sz.002174,2020-04-17,-0.05506709856547882,stop,0.0170648464163821,0.7315580102849417,8.9207,1.3430749682338021,1.2058377458801757,1.55187556352616,-0.3157894736842104,1.365853658536587,1.1917812560108436,0.7388050683441091,0.7483443708609249,-0.25165562913907513,0.6732993062538994,-0.2273212379935965,0.3005148657187078,-0.0034816263313967744,0.05753529772866791,0.06722689075630223,False
sz.002174,2024-11-11,-0.07169117647058834,stop,0.05472636815920375,0.710051715890805,9.9593,2.0629470672389143,2.93034405174663,4.183012939496395,0.046421663442940186,1.765765765765769,2.659901754270469,0.5351397973774525,0.7087378640776678,-0.06796116504854562,0.9408693731643168,0.4144736842105261,0.15356813983698792,0.31943205062995167,0.05032558139534884,0.4411177644710574,False
sz.002176,2022-02-14,0.10682158920539735,tp,0.07042253521126762,0.9565190997202375,10.0,1.3822170900692847,1.9129286095550013,1.6892429616681628,-0.3222181949981878,1.5699322242760327,1.6574096742612665,0.8633605291642301,1.2923976608187133,0.8187134502923985,1.067437632099808,0.008529854490717526,-0.13918629550321215,-0.08551843370387777,0.061094527363184055,0.1362467866323907,True
sz.002176,2022-06-09,0.09277134277134284,tp,0.01512605042016744,0.8876397436126492,9.5851,1.4163742690058476,1.9423257411646697,1.8454916987112822,-0.08482676224611707,0.8927536231884086,1.7520257903761751,0.6710141622544259,1.0115606936416182,0.41618497109826513,0.9482695565076329,0.10027855153203369,0.011092150170648463,0.15266300008511227,0.04753867791842475,0.2959381044487431,True
sz.002178,2023-01-06,-0.04185022026431726,stop,0.29411764705882365,0.40463028687006286,6.7599,1.770114942528736,1.312282269145204,2.589159666850412,-0.14392523364485976,1.5451505016722387,2.2118223591694224,0.4031257142365488,0.7878787878787871,-0.1818181818181833,0.5461841952641558,0.031963470319634535,-0.11372549019607847,-0.01358502918871746,0.04262536873156339,0.07000000000000028,False
sz.002178,2024-03-21,-0.057450628366247654,stop,0.0571428571428545,0.6467421944134502,6.8834,1.3373134328358267,1.5135500745632706,2.2743184843778375,-0.2236111111111112,1.1929260450160764,1.0880145668647931,0.8003255757899905,1.0312499999999991,0.03124999999999922,0.884862187571632,0.06666666666666665,0.382716049382716,0.08014273314688009,0.057619047619047604,0.20622568093385202,False
sz.002181,2022-11-10,-0.033707865168539235,stop,0.020833333333332787,0.7484824023562421,6.4356,1.529411764705886,2.385734221310441,2.534266505978259,-0.1434262948207169,1.1475409836065564,1.6833464418526154,0.6810718498336092,0.8846153846153817,0.5769230769230739,1.078720527766186,0.07748184019370452,0.2756602599118385,0.03766298681679407,0.0408988764044944,0.3220338983050843,False
sz.002182,2020-08-03,-0.042721518987341896,stop,0.0204081632653064,0.7197810195732706,6.875,1.2437703141928513,1.8183195513515311,2.2575396245871806,0.011834319526627057,1.4979423868312718,2.2476024234166276,0.7100779447782773,1.2682926829268246,0.8902439024390195,1.0732710516912456,0.436651583710407,0.31585127115392075,0.2820530932739026,0.04574803149606302,0.25168236877523525,False
sz.002182,2023-06-30,-0.03774442928603905,stop,0.05481033672895004,0.9961883060960053,7.8441,1.8995041401887145,3.347349183506107,3.43935683252067,-0.17827699608403114,1.972350870844646,2.1905864693899435,0.4074795571905579,0.9503546099290805,0.09219858156028238,0.9066891654218624,-0.0816592570041087,0.04370705132173569,-0.030141808085565516,0.030627589579720362,0.17250956390727504,False
sz.002183,2020-02-20,-0.08955223880597,stop,0.2678571428571425,0.9521990054487405,7.4866,1.3461538461538416,2.1666827087670097,2.0179504372039045,-0.09459459459459485,1.4951456310679605,1.9913950987431934,0.6161891537222226,0.8400000000000017,0.0,0.5933063464122785,-0.038258139320453965,-0.06726659451496486,-0.05282169159238614,0.03474365508485631,0.18232044198895053,False
